54|514|291|53|3.252A|3.252A
55|603|182|52,56,57|0|Near 3.200.2
56|603|69|55|3.200.2(CLBR)|3.200.2(CLBR)
57|603|260|37,55,58|0|Near 3.200.2
58|686|260|57,59,61|0|Near 3.398
59|686|371|58,60|0|Inside 3.398
60|737|371|59|3.398|3.398
61|815|260|58,62,67|3.300D(Cr)|3.300D(Cr)
62|815|198|61,63,65|0|Near 3.392
63|703|198|62,64|0|Near 3.396
64|703|95|63|3.396|3.396
65|932|198|62,66|0|Near 3.392
66|932|89|65|3.392|3.392
67|896|260|61,68,70|0|Near 3.394
68|896|376|67,69|0|Inside 3.394
69|847|376|68|3.394|3.394
70|1017|260|67,71,75|0|Near 3.388
71|1017|218|70,72,74|0|Near 3.388
72|1017|87|71,73|3.300.9(CLBR)|3.300.9(CLBR)
73|1128|87|72|3.390|3.390
74|1128|218|71|3.388|3.388
75|1017|394|70,76,80|0|Near 3.386
76|1116|394|75|3.386|3.386
77|963|420|80|3.300.8(FL)|3.300.8(FL)
78|1017|455|28,79,80|0|Near 3.384
79|1114|455|78|3.384|3.384
80|1017|420|75,77,78|0|Near 3.386
81|339|3736|157|3.202|3.202
82|413|3320|133,134,135,188|3.206|3.206
83|799|2903|187|3.210|3.210
84|431|2909|139,187|3.212|3.212
85|729|2750|186|3.214|3.214
86|431|2515|141,185|3.216|3.216
87|731|2415|196|3.218|3.218
88|421|2379|142,197|3.220|3.220
89|832|2270|144|3.222|3.222
90|851|2079|145|3.224|3.224
91|773|1892|146|3.226|3.226
92|416|1841|147,149,199|3.228|3.228
93|738|1721|150|3.230|3.230
94|468|1698|151,204|3.232|3.232
95|733|1541|207|3.236|3.236
96|479|1581|206|3.238|3.238
97|699|3584|159|3.302|3.302
98|760|3833|160|3.304|3.304
99|828|3837|161|3.306|3.306
100|897|3589|162|3.308|3.308
101|981|3770|165|3.310|3.310
102|984|3938|167|3.311|3.311
103|1201|4013|152|3.312|3.312
104|1224|3886|166|3.314|3.314
105|1212|3698|164|3.316|3.316
106|1137|3425|170|3.318|3.318
107|850|3296|172|3.320|3.320
108|1124|3325|171|3.322|3.322
109|1126|3182|173|3.324|3.324
110|845|3144|176|3.326|3.326
111|1090|2890|177|3.328|3.328
112|843|2821|178|3.330|3.330
113|1131|2784|131|3.332|3.332
114|1086|2675|180|3.334|3.334
115|892|2653|182|3.336|3.336
116|1097|2532|181|3.338(CLBR)|3.338(CLBR)
117|693|2650|183|3.340|3.340
118|870|2415|190|3.344|3.344
119|1089|2357|191|3.346|3.346
120|1119|2280|192|3.348|3.348
121|1133|2074|193|3.350|3.350
122|1136|2003|194|3.352|3.352
123|1078|1843|195|3.354|3.354
124|1084|1710|213|3.356|3.356
125|961|1706|213|3.358|3.358
126|1082|1605|212|3.360|3.360
127|1114|1331|211|3.362(CLBR)|3.362(CLBR)
128|852|1447|210|3.363|3.363
129|722|1445|209|3.364|3.364
130|970|3532|169|3.300.1(CLBR)|3.300.1(CLBR)
131|1022|2784|179|3.300.3(CLBR)|3.300.3(CLBR)
132|1354|4083|157|3.200.1(Cr)|3.200.1(Cr)
133|303|3193|82,137|0|Inside 3.206
134|364|3125|82,138|0|Inside 3.206
135|296|3327|82,136|0|Inside 3.206
136|168|3328|135|3.206(a)|3.206(a)
137|176|3192|133|3.206(b)|3.206(b)
138|365|3046|134|3.206(c)|3.206(c)
139|313|2785|87,140|0|Inside 3.212
140|162|2791|139,214|3.212A|3.212A
141|188|2520|86,214|3.216A|3.216A
142|302|2246|88,143|0|Inside 3.220
143|165|2245|142|3.220A|3.220A
144|762|2271|89,202|0|Near 3.222
145|751|2078|90,202|0|Near 3.224
146|692|1816|91,200|0|Inside 3.226
147|362|2037|92,148|0|Inside 3.228
148|363|2113|147|3.228A|3.228A
149|189|1842|92|3.228B|3.228B
150|671|1753|93,203|0|Inside 3.230
151|279|1699|94|3.232A|3.232A
152|1105|4014|103,168|0|Inside 3.312
153|674|1677|205|3.234 (AV_closet)|3.234 (AV_closet)
154|700|3323|188|3.E1(EV)|3.E1(EV)
155|694|3219|201|3.E2(EV)|3.E2(EV)
156|701|3505|189|3.S1(North Stairs)|3.S1(North Stairs)
157|602|3725|81,132,158|0|Near 3.202
158|601|3697|157,159,189|0|Near 3.202
159|702|3698|97,158,160|0|Near 3.302
160|762|3698|98,159,161|0|Near 3.304
161|823|3698|99,160,162|0|Near 3.306
162|900|3698|100,161,163|3.300A(Cr)|3.300A(Cr)
163|1022|3698|162,164,169|0|Near 3.316
164|1101|3698|105,163,165|0|Near 3.316
165|1101|3763|101,164,166|0|Near 3.310
166|1101|3888|104,165,167|0|Near 3.314
167|1101|3936|102,166,168|0|Near 3.311
168|1101|3955|152,167|0|Near 3.312
169|1022|3532|130,163,170|0|Near 3.318
170|1022|3421|106,169,171|0|Near 3.318
171|1022|3326|108,170,172|0|Near 3.322
172|1022|3292|107,171,173|3.300.2(CLBR)|3.300.2(CLBR)
173|1022|3185|109,172,174|0|Near 3.324
174|1022|3149|173,175|0|Near 3.324
175|962|3149|174,176|0|Near 3.326
176|962|3134|110,175,177|0|Near 3.326
177|962|2884|111,176,178|0|Near 3.328
178|962|2823|112,177,179|0|Near 3.330
179|962|2786|131,178,180|0|Near 3.330
180|962|2682|114,179,181|3.300(Cr)|3.300(Cr)
181|962|2533|116,180,182,190|0|Near 3.338
182|891|2533|115,181,183|3.300B(Cr)|3.300B(Cr)
183|686|2533|117,182,184|0|Near 3.340
184|603|2533|183,185,186|0|Near 3.216
185|603|2509|86,184,196|0|Near 3.216
186|603|2751|85,184,187|0|Near 3.214
187|603|2898|83,84,186,201|0|Near 3.210
188|603|3328|82,154,189,201|0|Near 3.206
189|603|3505|156,158,188|0|Near 3.S1
190|963|2418|118,181,191|0|Near 3.344
191|963|2348|119,190,192|0|Near 3.346
192|963|2280|120,191,193|0|Near 3.348
193|963|2074|121,192,194|3.300.4(CLBR)|3.300.4(CLBR)
194|963|2006|122,193,195|0|Near 3.352
195|963|1847|123,194,213|0|Near 3.354
196|603|2417|87,185,197|0|Near 3.218
197|603|2380|88,196,198|0|Near 3.220
198|603|2176|197,199,202|3.200(Cr)|3.200(Cr)
199|603|1839|92,198,200|0|Near 3.228
200|603|1814|146,199,203|0|Near 3.226
201|603|3327|155,187,188|0|Near 3.E2
202|754|2176|144,198|0|Near 3.222
203|603|1755|150,200,204|0|Near 3.230
204|603|1700|94,203,205|0|Near 3.232
205|603|1671|153,204,206|0|Near 3.234
206|603|1582|96,205,207|0|Near 3.238
207|603|1537|95,206,208|0|Near 3.236
208|603|1324|0,207,209|0|Near 3.240
209|717|1324|129,208,210|0|Near 3.364
210|857|1324|128,209,211|3.300C(Cr)|3.300C(Cr)
211|961|1324|8,127,210,212|0|Near 3.362
212|961|1605|126,211,213|0|Near 3.360
213|961|1710|124,125,195,212|0|Near 3.356
214|60|2776|140,141|0|Inside 3.212A
